1,Institute of Aerospace Technologies,+380 (530) 782-4225,tcohen0@kpi.ua,https://marketwatch.edu.kpi.ua,2
2,Institute of Nuclear and Thermal Power Engineering,+380 (317) 857-8599,gleech1@kpi.ua,http://ocn.edu.kpi.ua,2
3,Institute of Energy Saving and Energy Managment,+380 (713) 808-0827,bcapozzi2@kpi.ua,https://taobao.edu.kpi.ua,2
4,Institute of Materials Science and Welding,+380 (914) 651-5741,mhavis3@kpi.ua,https://comsenz.edu.kpi.ua,2
5,Institute of Postgraduate Education,+380 (403) 169-5836,cwarret4@kpi.ua,https://merriam-webster.edu.kpi.ua,2
6,Institute for Applied Systems Analysis,+380 (522) 855-7172,vnorkutt5@kpi.ua,https://ocn.ne.edu.kpi.ua,2
7,Institute of Special Communications and Information Protection,+380 (989) 538-5916,adabel6@kpi.ua,https://jimdo.edu.kpi.ua,2
8,Institute of telecomunication systems,+380 (930) 660-2464,tleggan7@kpi.ua,http://istockphoto.edu.kpi.ua,2
9,Publishing and Printing Institute,+380 (409) 462-2692,bhamnett8@kpi.ua,http://harvard.edu.kpi.ua,2
10,Institute of Mechanical Engineering,+380 (735) 317-1641,lwinterton9@kpi.ua,http://illinois.edu.kpi.ua,2
11,Institute of Physics and Technology,+380 (849) 529-3806,cheddona@kpi.ua,http://simplemachines.edu.kpi.ua,2
12,Faculty of Chemical Engineering,+380 (987) 263-9823,ehowlerb@kpi.ua,http://about.edu.kpi.ua,1
13,Faculty of Instrumentation Engineering,+380 (315) 931-0989,tcrixc@kpi.ua,https://arizona.edu.kpi.ua,1
14,Faculty of Radio Engineering,+380 (221) 776-2930,mkemittd@kpi.ua,http://webnode.edu.kpi.ua,1
15,Faculty of Physics and Mathematics,+380 (861) 514-6110,ntownrowe@kpi.ua,https://t-online.edu.kpi.ua,1
16,Faculty of Informatics and Computer Science,+380 (761) 585-6175,ethundersf@kpi.ua,http://yahoo.edu.kpi.ua,1
17,Faculty of Biomedical Engineering,+380 (204) 794-3527,stanslieg@kpi.ua,http://friendfeed.edu.kpi.ua,1
18,Faculty of Biotechnology and Biotechnology,+380 (137) 609-9196,gselfh@kpi.ua,http://rambler.edu.kpi.ua,1
19,Faculty of Electric Power Engineering and Automation,+380 (167) 310-8724,ccropperi@kpi.ua,http://ihg.edu.kpi.ua,1
20,Faculty of Electronics,+380 (908) 470-5810,sleaj@kpi.ua,http://apple.edu.kpi.ua,1
21,Faculty of Linguistics,+380 (651) 115-5107,hgabitisk@kpi.ua,http://cnet.edu.kpi.ua,1
22,Faculty of Management and Marketing,+380 (181) 781-6870,pbonsalll@kpi.ua,http://networksolutions.edu.kpi.ua,1
23,Faculty of Applied Mathematics,+380 (901) 491-4898,mespinom@kpi.ua,https://slideshare.edu.kpi.ua,1
24,Faculty of Sociology and Law,+380 (147) 505-6427,bjeensn@kpi.ua,http://vkontakte.edu.kpi.ua,1
25,Faculty of Chemical Technology,+380 (549) 731-4888,joglassaneo@kpi.ua,https://admin.edu.kpi.ua,1
26,Polytechnic Lyceum,+380 (246) 740-7342,amilburnep@kpi.ua,http://ucoz.edu.kpi.ua,3
27,Projecting Institute Of Artificial Intelligence,+380 (416) 558-0836,odupreq@kpi.ua,http://samsung.edu.kpi.ua,4
28,Projecting Institute Of Design,+380 (567) 905-1826,rscotchmorer@kpi.ua,http://geocities.edu.kpi.ua,4
29,Projecting Institute Of Computer Graphics,+380 (218) 102-6029,slettericks@kpi.ua,http://wix.edu.kpi.ua,4
30,Projecting Institute Of Architecture,+380 (767) 972-6108,egyorffyt@kpi.ua,https://abc.edu.kpi.ua,4
31,Projecting Institute Of Civil Building,+380 (483) 755-1504,rblocku@kpi.ua,http://ehow.edu.kpi.ua,4
32,Projecting Institute Of Technology Development,+380 (710) 149-6163,zhayseldenv@kpi.ua,https://sogou.edu.kpi.ua,4
